2772
228.623, 1, 17, 256, 80
226.841, 33, 1, 160, 128
219.071, 1, 1, 256, 128
216.743, 65, 1, 320, 300
215.383, 1, 1, 400, 64
215.296, 161, 1, 288, 300
214.732, 41, 17, 104, 80
210.345, 73, 1, 136, 128
208.537, 97, 1, 224, 300
207.439, 65, 33, 320, 288
207.42, 49, 17, 176, 80
207.006, 45, 17, 76, 80
205.183, 93, 1, 124, 128
201.8, 129, 1, 256, 128
199.683, 97, 33, 224, 288
198.239, 205, 37, 220, 52
197.322, 49, 1, 112, 128
197.224, 225, 1, 288, 300
196.894, 201, 1, 264, 300
195.372, 1, 1, 400, 128
194.544, 1, 57, 64, 72
192.514, 49, 17, 64, 80
191.935, 1, 49, 256, 112
190.338, 161, 1, 192, 128
189.996, 217, 1, 248, 64
188.014, 105, 1, 120, 128
187.898, 53, 1, 84, 128
187.879, 153, 1, 216, 64
187.77, 221, 1, 236, 64
187.206, 97, 1, 224, 64
187.086, 137, 1, 200, 128
186.228, 197, 37, 228, 68
186.188, 145, 1, 272, 64
186.075, 105, 1, 168, 128
185.555, 161, 1, 288, 256
185.304, 161, 1, 192, 64
185.071, 177, 1, 208, 64
184.947, 185, 1, 248, 64
184.638, 169, 1, 232, 300
184.093, 1, 45, 64, 76
184.052, 81, 1, 208, 128
183.631, 129, 9, 192, 72
183.42, 113, 33, 176, 288
183.296, 197, 39, 228, 54
182.827, 191, 1, 206, 64
182.645, 57, 17, 72, 80
182.179, 59, 1, 74, 128
181.83, 111, 1, 126, 128
181.762, 33, 25, 160, 56
181.575, 209, 1, 272, 64
181.473, 169, 1, 184, 128
181.409, 129, 41, 256, 104
181.179, 73, 49, 136, 112
181.055, 17, 49, 144, 112
181.026, 141, 1, 172, 128
180.928, 175, 1, 190, 64
180.244, 109, 1, 140, 128
178.72, 45, 29, 60, 44
178.221, 123, 1, 138, 128
177.469, 57, 9, 88, 72
176.646, 173, 1, 204, 128
176.563, 145, 1, 208, 300
176.086, 129, 1, 160, 128
175.984, 185, 1, 200, 64
175.191, 175, 1, 190, 128
174.428, 33, 49, 288, 176
173.725, 155, 1, 170, 128
173.511, 117, 1, 132, 128
172.816, 97, 1, 352, 128
172.71, 241, 1, 272, 128
172.503, 197, 1, 228, 128
172.067, 1, 49, 128, 176
171.714, 133, 1, 148, 128
171.699, 163, 1, 178, 128
171.361, 233, 1, 296, 128
171.255, 193, 1, 256, 128
171.146, 169, 1, 232, 128
171.143, 189, 1, 220, 64
170.834, 121, 49, 184, 176
170.638, 209, 13, 240, 44
170.466, 205, 1, 236, 64
170.011, 177, 1, 304, 128
169.702, 1, 57, 16, 120
169.499, 121, 1, 184, 300
169.477, 169, 1, 184, 64
168.946, 9, 63, 72, 78
168.782, 249, 1, 264, 128
168.233, 269, 1, 284, 128
167.931, 177, 1, 240, 256
167.917, 149, 9, 180, 72
167.604, 177, 13, 304, 44
166.665, 113, 45, 240, 76
166.465, 99, 1, 114, 128
166.327, 147, 1, 162, 128
165.48, 211, 13, 226, 44
165.432, 1, 1, 400, 256
165.424, 265, 1, 296, 128
165.112, 93, 1, 108, 128
165.101, 1, 49, 64, 112
164.85, 213, 1, 228, 64
164.672, 129, 33, 384, 96
164.665, 17, 57, 144, 88
164.665, 163, 9, 178, 72
164.33, 233, 1, 296, 256
164.312, 203, 1, 218, 128
164.3, 65, 49, 192, 176
163.872, 137, 9, 168, 72
163.849, 189, 1, 204, 128
163.846, 197, 1, 212, 64
163.842, 229, 1, 260, 128
163.639, 97, 9, 352, 72
163.45, 197, 33, 228, 96
163.428, 105, 9, 168, 72
163.123, 47, 29, 62, 60
163.075, 141, 1, 156, 128
162.962, 109, 1, 140, 256
162.89, 181, 17, 212, 48
162.762, 177, 41, 240, 72
162.62, 257, 1, 320, 128
162.296, 65, 1, 80, 128
162.075, 145, 49, 272, 176
